"","X","Order_CultCham","A","callus","root","B","callus.1","root.1","C","callus.2","root.2","D","callus.3","root.3","E","callus.4","root.4","F","callus.5","root.5","G","callus.6","root.6","H","callus.7","root.7","I","callus.8","root.8"
"1","1_IBA_05_1",11,"G2_b20_1",0,0,"G1_b19_1",1,2,"G1_b16_1",1,0,"G2_b27_1",1,0,"G2_b8_1",1,1,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",0,0,"G2_b2_1",1,0
"2","1_IBA_05_2",8,"G2_b20_1",1,3,"G1_b19_1",1,5,"G1_b16_1",1,1,"G2_b27_1",1,1,"G2_b8_1",1,2,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,3,"G2_b2_1",1,0
"3","1_IBA_05_3",10,"G2_b20_1",1,0,"G1_b19_1",1,0,"G1_b16_1",1,1,"G2_b27_1",1,6,"G2_b8_1",1,1,"G2_b15_1",1,2,"G2_b26_1",1,0,"G1_b6_1",1,0,"G2_b2_1",1,0
"4","1_IBA_1_1",6,"G2_b20_1",1,2,"G1_b19_1",1,5,"G1_b16_1",1,3,"G2_b27_1",1,12,"G2_b8_1",1,3,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,2,"G2_b2_1",1,1
"5","1_IBA_1_2",3,"G2_b20_1",1,4,"G1_b19_1",1,4,"G1_b16_1",1,2,"G2_b27_1",1,10,"G2_b8_1",1,4,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,2,"G2_b2_1",1,0
"6","1_IBA_1_3",9,"G2_b20_1",1,1,"G1_b19_1",1,0,"G1_b16_1",1,0,"G2_b27_1",1,5,"G2_b8_1",1,1,"G2_b15_1",1,0,"G2_b26_1",1,1,"G1_b6_1",1,1,"G2_b2_1",1,3
"7","1_NAA_05_1",15,"G2_b20_1",1,0,"G1_b19_1",1,3,"G1_b16_1",1,1,"G2_b27_1",1,4,"G2_b8_1",1,0,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,0,"G2_b2_1",1,0
"8","1_NAA_05_2",12,"G2_b20_1",1,2,"G1_b19_1",1,0,"G1_b16_1",0,0,"G2_b27_1",1,5,"G2_b8_1",1,1,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",0,0,"G2_b2_1",1,0
"9","1_NAA_05_3",1,"G2_b20_1",1,1,"G1_b19_1",1,2,"G1_b16_1",1,4,"G2_b27_1",1,5,"G2_b8_1",1,0,"G2_b15_1",1,1,"G2_b26_1",1,1,"G1_b6_1",1,1,"G2_b2_1",1,0
"10","1_NAA_1_1",2,"G2_b20_1",1,1,"G1_b19_1",0,0,"G1_b16_1",0,3,"G2_b27_1",1,8,"G2_b8_1",0,1,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,0,"G2_b2_1",1,1
"11","1_NAA_1_2",5,"G2_b20_1",1,6,"G1_b19_1",1,2,"G1_b16_1",1,5,"G2_b27_1",1,0,"G2_b8_1",1,0,"G2_b15_1",1,0,"G2_b26_1",1,0,"G1_b6_1",1,0,"G2_b2_1",1,0
"12","1_NAA_1_3",7,"G2_b20_1",1,0,"G1_b19_1",1,0,"G1_b16_1",1,6,"G2_b27_1",1,7,"G2_b8_1",1,0,"G2_b15_1",1,1,"G2_b26_1",1,0,"G1_b6_1",1,1,"G2_b2_1",1,0
"13","1_Control_1",13,"G2_b20_1",0,0,"G1_b19_1",0,0,"G1_b16_1",0,0,"G2_b27_1",0,3,"G2_b8_1",0,0,"G2_b15_1",0,0,"G2_b26_1",0,0,"G1_b6_1",0,0,"G2_b2_1",0,0
"14","1_Control_2",4,"G2_b20_1",0,0,"G1_b19_1",0,0,"G1_b16_1",0,1,"G2_b27_1",0,1,"G2_b8_1",0,0,"G2_b15_1",0,0,"G2_b26_1",0,0,"G1_b6_1",0,0,"G2_b2_1",0,0
"15","1_Control_3",14,"G2_b20_1",0,0,"G1_b19_1",0,0,"G1_b16_1",0,0,"G2_b27_1",0,5,"G2_b8_1",0,0,"G2_b15_1",0,0,"G2_b26_1",0,0,"G1_b6_1",0,0,"G2_b2_1",0,0
